tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,src/renderer/pages/conversation/platforms/openclaw/StarOfficeMonitorCard.tsx,src/renderer/pages/conversation/platforms/openclaw/StarOfficeMonitorCard.tsx,src/renderer/pages/conversation/platforms/openclaw/StarOfficeMonitorCard.tsx,DELETED-OR-UNTRACKED-MOVE,234,91.0,99.0
DERIVED-HIGH,src/renderer/pages/conversation/components/SkillRuleGenerator.tsx,src/renderer/pages/conversation/components/SkillRuleGenerator.tsx,packages/desktop/src/renderer/pages/conversation/components/SkillRuleGenerator.tsx,MOVED+EDITED,134,91.0,98.9
DERIVED-HIGH,src/renderer/components/media/Diff2Html.tsx,src/renderer/components/media/Diff2Html.tsx,packages/desktop/src/renderer/components/media/Diff2Html.tsx,MOVED+EDITED,88,90.9,95.3
DERIVED-HIGH,playwright.config.ts,playwright.config.ts,playwright.config.ts,EDITED-IN-PLACE,11,90.9,94.1
DERIVED-HIGH,src/renderer/hooks/context/AuthContext.tsx,src/renderer/hooks/context/AuthContext.tsx,packages/desktop/src/renderer/hooks/context/AuthContext.tsx,MOVED+EDITED,86,90.7,100.0
DERIVED-HIGH,src/process/bridge/bedrockBridge.ts,src/process/bridge/bedrockBridge.ts,src/process/bridge/bedrockBridge.ts,DELETED-OR-UNTRACKED-MOVE,43,90.7,100.0
DERIVED-HIGH,tests/unit/sentry.test.ts,tests/unit/sentry.test.ts,tests/unit/sentry.test.ts,EDITED-IN-PLACE,32,90.6,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/useScrollSyncHelpers.ts,src/renderer/pages/conversation/Preview/hooks/useScrollSyncHelpers.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/useScrollSyncHelpers.ts,MOVED-ONLY,53,90.6,100.0
DERIVED-HIGH,tests/e2e/specs/ext-no-extensions.e2e.ts,tests/e2e/specs/ext-no-extensions.e2e.ts,tests/e2e/specs/ext-no-extensions.e2e.ts,UNTOUCHED,64,90.6,91.9
DERIVED-HIGH,src/renderer/hooks/mcp/messageQueue.ts,src/renderer/hooks/mcp/messageQueue.ts,packages/desktop/src/renderer/hooks/mcp/messageQueue.ts,MOVED-ONLY,21,90.5,100.0
DERIVED-HIGH,src/process/extensions/resolvers/WebuiResolver.ts,src/process/extensions/resolvers/WebuiResolver.ts,src/process/extensions/resolvers/WebuiResolver.ts,DELETED-OR-UNTRACKED-MOVE,84,90.5,100.0
DERIVED-HIGH,src/process/utils/resetPasswordCLI.ts,src/process/utils/resetPasswordCLI.ts,packages/desktop/src/process/utils/resetPasswordCLI.ts,MOVED+REWRITTEN,74,90.5,95.9
DERIVED-HIGH,src/renderer/pages/guid/components/GuidInputCard.tsx,src/renderer/pages/guid/components/GuidInputCard.tsx,packages/desktop/src/renderer/pages/guid/components/GuidInputCard.tsx,MOVED+REWRITTEN,63,90.5,92.5
DERIVED-HIGH,src/renderer/hooks/chat/useInitialMessage.ts,src/renderer/hooks/chat/useInitialMessage.ts,packages/desktop/src/renderer/hooks/chat/useInitialMessage.ts,MOVED+EDITED,31,90.3,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/BaseToolCallDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/BaseToolCallDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/BaseToolCallDisplay.tsx,DELETED-OR-UNTRACKED-MOVE,31,90.3,100.0
DERIVED-HIGH,src/process/webserver/directoryApi.ts,src/process/webserver/directoryApi.ts,src/process/webserver/directoryApi.ts,DELETED-OR-UNTRACKED-MOVE,124,90.3,99.1
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/ConversationSearchPopover.tsx,src/renderer/pages/conversation/GroupedHistory/ConversationSearchPopover.tsx,packages/desktop/src/renderer/pages/conversation/GroupedHistory/ConversationSearchPopover.tsx,MOVED+EDITED,217,90.3,95.5
DERIVED-HIGH,src/renderer/components/settings/DirectorySelectionModal.tsx,src/renderer/components/settings/DirectorySelectionModal.tsx,packages/desktop/src/renderer/components/settings/DirectorySelectionModal.tsx,MOVED+EDITED,72,90.3,94.6
DERIVED-HIGH,src/renderer/pages/settings/components/AddModelModal.tsx,src/renderer/pages/settings/components/AddModelModal.tsx,packages/desktop/src/renderer/pages/settings/components/AddModelModal.tsx,MOVED+REWRITTEN,61,90.2,97.2
DERIVED-HIGH,src/renderer/utils/theme/customCssProcessor.ts,src/renderer/utils/theme/customCssProcessor.ts,packages/desktop/src/renderer/utils/theme/customCssProcessor.ts,MOVED-ONLY,20,90.0,100.0
DERIVED-HIGH,tests/unit/process/utils/resetPasswordCLI.test.ts,tests/unit/process/utils/resetPasswordCLI.test.ts,tests/unit/process/utils/resetPasswordCLI.test.ts,DELETED-OR-UNTRACKED-MOVE,40,90.0,97.9
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/MessageToolCall.tsx,src/renderer/pages/conversation/Messages/components/MessageToolCall.tsx,packages/desktop/src/renderer/pages/conversation/Messages/components/MessageToolCall.tsx,MOVED+REWRITTEN,40,90.0,94.1
DERIVED-HIGH,tests/unit/taskBridge.test.ts,tests/unit/taskBridge.test.ts,tests/unit/taskBridge.test.ts,DELETED-OR-UNTRACKED-MOVE,49,89.8,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/components/PasteConfirmModal.tsx,src/renderer/pages/conversation/Workspace/components/PasteConfirmModal.tsx,src/renderer/pages/conversation/Workspace/components/PasteConfirmModal.tsx,DELETED-OR-UNTRACKED-MOVE,59,89.8,98.2
DERIVED-HIGH,src/common/api/OpenAI2AnthropicConverter.ts,src/common/api/OpenAI2AnthropicConverter.ts,packages/desktop/src/common/api/OpenAI2AnthropicConverter.ts,MOVED+EDITED,96,89.6,96.4
DERIVED-HIGH,src/renderer/utils/chat/thinkTagFilter.ts,src/renderer/utils/chat/thinkTagFilter.ts,packages/desktop/src/renderer/utils/chat/thinkTagFilter.ts,MOVED+EDITED,19,89.5,100.0
DERIVED-HIGH,tests/unit/process/bridge/fsBridge.standalone.test.ts,tests/unit/process/bridge/fsBridge.standalone.test.ts,tests/unit/process/bridge/fsBridge.standalone.test.ts,DELETED-OR-UNTRACKED-MOVE,57,89.5,91.6
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/components/WorkspaceDialogs.tsx,src/renderer/pages/conversation/Workspace/components/WorkspaceDialogs.tsx,src/renderer/pages/conversation/Workspace/components/WorkspaceDialogs.tsx,DELETED-OR-UNTRACKED-MOVE,37,89.2,100.0
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/useMinimapPanel.ts,src/renderer/pages/conversation/components/ConversationTitleMinimap/useMinimapPanel.ts,packages/desktop/src/renderer/pages/conversation/components/ConversationTitleMinimap/useMinimapPanel.ts,MOVED+EDITED,183,89.1,100.0
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useExport.ts,src/renderer/pages/conversation/GroupedHistory/hooks/useExport.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useExport.ts,MOVED+EDITED,165,89.1,99.2
DERIVED-HIGH,src/renderer/pages/conversation/Messages/acp/MessageAcpToolCall.tsx,src/renderer/pages/conversation/Messages/acp/MessageAcpToolCall.tsx,packages/desktop/src/renderer/pages/conversation/Messages/acp/MessageAcpToolCall.tsx,MOVED+EDITED,55,89.1,98.2
DERIVED-HIGH,src/process/extensions/sandbox/sandbox.ts,src/process/extensions/sandbox/sandbox.ts,src/process/extensions/sandbox/sandbox.ts,DELETED-OR-UNTRACKED-MOVE,110,89.1,93.8
DERIVED-HIGH,src/server.ts,src/server.ts,src/server.ts,DELETED-OR-UNTRACKED-MOVE,46,89.1,90.2
DERIVED-HIGH,tests/unit/apiRoutesUploadWorkspace.test.ts,tests/unit/apiRoutesUploadWorkspace.test.ts,tests/unit/apiRoutesUploadWorkspace.test.ts,DELETED-OR-UNTRACKED-MOVE,27,88.9,100.0
DERIVED-HIGH,src/process/extensions/resolvers/utils/dependencyResolver.ts,src/process/extensions/resolvers/utils/dependencyResolver.ts,src/process/extensions/resolvers/utils/dependencyResolver.ts,DELETED-OR-UNTRACKED-MOVE,81,88.9,100.0
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/AgentModalContent.tsx,src/renderer/components/settings/SettingsModal/contents/AgentModalContent.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/contents/AgentModalContent.tsx,MOVED+REWRITTEN,27,88.9,97.2
DERIVED-HIGH,src/renderer/hooks/file/useWorkspaceSelector.ts,src/renderer/hooks/file/useWorkspaceSelector.ts,packages/desktop/src/renderer/hooks/file/useWorkspaceSelector.ts,MOVED+EDITED,27,88.9,97.2
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useWorkspaceExpansionState.ts,src/renderer/pages/conversation/GroupedHistory/hooks/useWorkspaceExpansionState.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useWorkspaceExpansionState.ts,MOVED-ONLY,27,88.9,93.3
DERIVED-HIGH,src/common/utils/appConfig.ts,src/common/utils/appConfig.ts,packages/desktop/src/common/utils/appConfig.ts,MOVED-ONLY,9,88.9,87.5
DERIVED-HIGH,src/process/agent/gemini/cli/tools/img-gen.ts,src/process/agent/gemini/cli/tools/img-gen.ts,src/process/agent/gemini/cli/tools/img-gen.ts,DELETED-OR-UNTRACKED-MOVE,107,88.8,98.6
DERIVED-HIGH,src/renderer/pages/settings/components/EditModeModal.tsx,src/renderer/pages/settings/components/EditModeModal.tsx,packages/desktop/src/renderer/pages/settings/components/EditModeModal.tsx,MOVED+EDITED,188,88.8,97.8
DERIVED-HIGH,tests/unit/chat/conversationExport.test.ts,tests/unit/chat/conversationExport.test.ts,tests/unit/chat/conversationExport.test.ts,DELETED-OR-UNTRACKED-MOVE,53,88.7,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceDragImport.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceDragImport.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceDragImport.ts,DELETED-OR-UNTRACKED-MOVE,97,88.7,97.7
DERIVED-HIGH,src/process/agent/gemini/cli/tools/web-search.ts,src/process/agent/gemini/cli/tools/web-search.ts,src/process/agent/gemini/cli/tools/web-search.ts,DELETED-OR-UNTRACKED-MOVE,70,88.6,98.9
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/components/WorkspaceToolbar.tsx,src/renderer/pages/conversation/Workspace/components/WorkspaceToolbar.tsx,src/renderer/pages/conversation/Workspace/components/WorkspaceToolbar.tsx,DELETED-OR-UNTRACKED-MOVE,79,88.6,96.0
