tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,src/renderer/hooks/agent/useModeModeList.ts,src/renderer/hooks/agent/useModeModeList.ts,39,39,0,100.0,100.0
AUTO,identical,src/renderer/hooks/agent/useGeminiGoogleAuthModels.ts,src/renderer/hooks/agent/useGeminiGoogleAuthModels.ts,27,27,0,100.0,100.0
AUTO,identical,src/renderer/hooks/system/useAutoPreviewOfficeFilesEnabled.ts,src/renderer/hooks/system/useAutoPreviewOfficeFilesEnabled.ts,12,12,0,100.0,100.0
AUTO,identical,src/renderer/hooks/system/useExtI18n.ts,src/renderer/hooks/system/useExtI18n.ts,30,30,0,100.0,100.0
AUTO,identical,src/renderer/hooks/system/usePwaMode.ts,src/renderer/hooks/system/usePwaMode.ts,8,8,0,100.0,100.0
AUTO,identical,src/renderer/hooks/system/useNotificationClick.ts,src/renderer/hooks/system/useNotificationClick.ts,14,14,0,100.0,100.0
AUTO,identical,src/renderer/pages/settings/SystemSettings.tsx,src/renderer/pages/settings/SystemSettings.tsx,11,11,0,100.0,100.0
AUTO,identical,src/renderer/pages/settings/AgentSettings/RemoteAgents.tsx,src/renderer/pages/settings/AgentSettings/RemoteAgents.tsx,1,1,0,100.0,100.0
AUTO,identical,src/renderer/pages/settings/DisplaySettings/index.tsx,src/renderer/pages/settings/DisplaySettings/index.tsx,5,5,0,100.0,100.0
AUTO,identical,src/renderer/pages/team/components/AgentStatusBadge.tsx,src/renderer/pages/team/components/AgentStatusBadge.tsx,13,13,0,100.0,100.0
AUTO,identical,src/renderer/pages/guid/index.tsx,src/renderer/pages/guid/index.tsx,1,1,0,100.0,100.0
AUTO,identical,src/renderer/pages/guid/types.ts,src/renderer/pages/guid/types.ts,10,10,0,100.0,100.0
AUTO,identical,src/renderer/pages/guid/constants.ts,src/renderer/pages/guid/constants.ts,3,3,0,100.0,100.0
AUTO,identical,src/renderer/pages/guid/utils/modelUtils.ts,src/renderer/pages/guid/utils/modelUtils.ts,18,18,0,100.0,100.0
