tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/pages/conversation/components/ChatLayout/WorkspaceOpenButton.tsx,packages/desktop/src/renderer/pages/conversation/components/ChatLayout/WorkspaceOpenButton.tsx,62,87.1,95.1,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/usePreviewHistory.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/usePreviewHistory.ts,62,87.1,95.0,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,46,87.0,92.7,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useConversations.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useConversations.ts,52,86.5,98.0,False
DERIVED-HIGH,src/common/api/RotatingApiClient.ts,packages/desktop/src/common/api/RotatingApiClient.ts,64,85.9,93.4,False
DERIVED-HIGH,src/renderer/components/Markdown/MermaidBlock.tsx,packages/desktop/src/renderer/components/Markdown/MermaidBlock.tsx,106,85.8,93.8,False
DERIVED-HIGH,src/renderer/hooks/ui/useLatestRef.ts,packages/desktop/src/renderer/hooks/ui/useLatestRef.ts,7,85.7,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/chatMinimapEvents.ts,packages/desktop/src/renderer/utils/chat/chatMinimapEvents.ts,7,85.7,84.6,False
DERIVED-HIGH,src/common/chat/sideQuestion.ts,packages/desktop/src/common/chat/sideQuestion.ts,7,85.7,81.8,False
DERIVED-HIGH,src/renderer/hooks/file/useConversationExport.tsx,packages/desktop/src/renderer/hooks/file/useConversationExport.tsx,132,85.6,96.3,False
DERIVED-HIGH,src/renderer/services/i18n/index.ts,packages/desktop/src/renderer/services/i18n/index.ts,75,85.3,96.0,False
DERIVED-HIGH,src/renderer/hooks/system/useSpeechInput.ts,packages/desktop/src/renderer/hooks/system/useSpeechInput.ts,203,85.2,90.0,False
DERIVED-HIGH,src/renderer/utils/chat/atFileQuery.ts,packages/desktop/src/renderer/utils/chat/atFileQuery.ts,45,84.4,100.0,False
DERIVED-HIGH,src/renderer/components/media/Diff2Html.tsx,packages/desktop/src/renderer/components/media/Diff2Html.tsx,88,84.1,93.5,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewHistoryDropdown.tsx,packages/desktop/src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewHistoryDropdown.tsx,31,83.9,95.2,False
DERIVED-HIGH,src/renderer/utils/chat/timeline.ts,packages/desktop/src/renderer/utils/chat/timeline.ts,31,83.9,69.7,False
DERIVED-HIGH,src/process/resources/builtinMcp/imageGenServer.ts,packages/desktop/src/process/resources/builtinMcp/imageGenServer.ts,49,83.7,91.7,False
DERIVED-HIGH,src/renderer/hooks/chat/useSlashCommandController.ts,packages/desktop/src/renderer/hooks/chat/useSlashCommandController.ts,61,83.6,93.6,False
DERIVED-HIGH,src/common/chat/slash/types.ts,packages/desktop/src/common/chat/slash/types.ts,6,83.3,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewTabs.tsx,packages/desktop/src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewTabs.tsx,42,83.3,96.4,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/acp/MessageAvailableCommands.tsx,packages/desktop/src/renderer/pages/conversation/Messages/acp/MessageAvailableCommands.tsx,24,83.3,90.3,False
