tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/common/types/codex/codexModes.ts,src/common/types/codex/codexModes.ts,7,100.0,100.0,False
DERIVED-HIGH,src/common/types/codex/types/index.ts,src/common/types/codex/types/index.ts,24,100.0,100.0,False
DERIVED-HIGH,src/common/types/codex/types/errorTypes.ts,src/common/types/codex/types/errorTypes.ts,15,100.0,100.0,False
DERIVED-HIGH,src/common/types/codex/types/permissionTypes.ts,src/common/types/codex/types/permissionTypes.ts,20,100.0,100.0,False
DERIVED-HIGH,src/common/types/codex/utils/index.ts,src/common/types/codex/utils/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/chat/sideQuestion.ts,src/common/chat/sideQuestion.ts,7,100.0,100.0,False
DERIVED-HIGH,src/common/chat/atCommandParser.ts,src/common/chat/atCommandParser.ts,37,100.0,100.0,False
DERIVED-HIGH,src/common/chat/navigation/index.ts,src/common/chat/navigation/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/chat/slash/availability.ts,src/common/chat/slash/availability.ts,6,100.0,100.0,False
DERIVED-HIGH,src/common/chat/approval/ApprovalStore.ts,src/common/chat/approval/ApprovalStore.ts,14,100.0,100.0,False
DERIVED-HIGH,src/common/chat/approval/index.ts,src/common/chat/approval/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/common/platform/register-electron.ts,src/common/platform/register-electron.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/platform/register-node.ts,src/common/platform/register-node.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/utils/utils.ts,src/common/utils/utils.ts,25,100.0,100.0,False
DERIVED-HIGH,src/common/utils/platformAuthType.ts,src/common/utils/platformAuthType.ts,22,100.0,100.0,False
DERIVED-HIGH,src/common/utils/platformConstants.ts,src/common/utils/platformConstants.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/utils/geminiModes.ts,src/common/utils/geminiModes.ts,32,100.0,100.0,False
DERIVED-HIGH,src/common/utils/index.ts,src/common/utils/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/common/utils/shims/xterm-headless.ts,src/common/utils/shims/xterm-headless.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/adapter/constant.ts,src/common/adapter/constant.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/adapter/registry.ts,src/common/adapter/registry.ts,12,100.0,100.0,False
DERIVED-HIGH,src/common/api/ProtocolConverter.ts,src/common/api/ProtocolConverter.ts,6,100.0,100.0,False
DERIVED-HIGH,src/common/api/index.ts,src/common/api/index.ts,5,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/databaseBridge.ts,src/process/bridge/databaseBridge.ts,28,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/workspaceSnapshotBridge.ts,src/process/bridge/workspaceSnapshotBridge.ts,31,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/migrationUtils.ts,src/process/bridge/migrationUtils.ts,18,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/speechToTextBridge.ts,src/process/bridge/speechToTextBridge.ts,5,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/geminiBridge.ts,src/process/bridge/geminiBridge.ts,7,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/starOfficeBridge.ts,src/process/bridge/starOfficeBridge.ts,75,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/testCustomAgentConnection.ts,src/process/bridge/testCustomAgentConnection.ts,24,100.0,100.0,False
DERIVED-HIGH,src/process/bridge/previewHistoryBridge.ts,src/process/bridge/previewHistoryBridge.ts,10,100.0,100.0,False
